"Election_Date","Election_Type","Number_of_Ridings","Number_of_Seats","Number_of_Candidates","Total_Valid_Votes"
1867-08-07,"General",179,180,340,268317
1867-11-28,"By-Election",1,1,1,0
1867-12-11,"By-Election",1,1,2,769
1868-03-13,"By-Election",1,1,2,659
1868-04-13,"By-Election",1,1,2,840
1868-04-20,"By-Election",1,1,1,0
1868-08-14,"By-Election",1,1,2,903
1868-10-17,"By-Election",1,1,1,0
1868-10-28,"By-Election",1,1,1,0
1868-10-30,"By-Election",1,1,2,1098
1868-12-24,"By-Election",1,1,2,2027
1869-01-18,"By-Election",1,1,1,0
1869-02-17,"By-Election",1,1,2,2254
1869-04-20,"By-Election",2,2,4,2711
1869-04-24,"By-Election",1,1,2,2641
1869-07-12,"By-Election",1,1,2,746
1869-07-14,"By-Election",1,1,2,1157
1869-09-09,"By-Election",1,1,2,2815
1869-10-30,"By-Election",1,1,1,0
1869-11-13,"By-Election",1,1,2,1000
1869-11-29,"By-Election",2,2,2,0
1870-04-27,"By-Election",1,1,2,1386
1870-06-15,"By-Election",1,1,1,0
1870-06-23,"By-Election",1,1,1,0
1870-07-05,"By-Election",1,1,2,1898
1870-07-18,"By-Election",1,1,2,2007
1870-08-15,"By-Election",1,1,1,0
1870-09-01,"By-Election",1,1,1,0
1870-11-08,"By-Election",1,1,2,1940
1870-11-18,"By-Election",1,1,2,2043
1870-11-29,"By-Election",1,1,2,644
1871-03-02,"By-Election",3,4,6,1286
1871-03-03,"By-Election",1,1,2,201
1871-03-20,"By-Election",1,1,1,0
1871-06-30,"By-Election",1,1,1,0
1871-09-15,"By-Election",1,1,1,0
1871-11-11,"By-Election",1,1,1,0
1871-11-17,"By-Election",1,1,1,0
1871-12-13,"By-Election",1,1,2,149
1871-12-15,"By-Election",1,1,2,239
1871-12-19,"By-Election",2,2,2,0
1872-07-20,"General",193,200,367,318329
1872-11-23,"By-Election",1,1,2,3019
1873-02-15,"By-Election",1,1,1,0
1873-03-28,"By-Election",1,1,2,0
1873-04-10,"By-Election",1,1,1,0
1873-07-05,"By-Election",1,1,1,0
1873-07-07,"By-Election",2,2,2,0
1873-09-18,"By-Election",1,1,1,0
1873-09-29,"By-Election",3,6,6,0
1873-10-13,"By-Election",1,1,1,0
1873-10-28,"By-Election",1,1,1,0
1873-11-25,"By-Election",1,1,1,0
1873-11-26,"By-Election",1,1,1,0
1873-11-27,"By-Election",2,2,2,0
1873-11-28,"By-Election",1,1,1,0
1873-12-01,"By-Election",2,2,2,0
1873-12-03,"By-Election",2,2,2,0
1873-12-04,"By-Election",1,1,1,0
1873-12-09,"By-Election",1,1,1,0
